,id,name,city,salary_min,salary_max,salary_currency,metro,experience,skills,specializations,professional_roles,employer,published_at
10,69160159,Инженер по качеству,Санкт-Петербург,70000.0,,RUR,Нарвская,От 1 года до 3 лет,"['Контроль качества', 'Работа в команде', 'Техническая документация', 'ГОСТ', 'Управление качеством']","['Технолог, Производство и переработка зерновых', 'Технолог, Производство сахара', 'Метролог', 'Технолог', 'Технолог, Мясо- и птицепереработка']",Инженер-технолог,Техэкспо,2022-08-25T09:48:42+0300
11,68514486,Начальник отдела менеджмента качества,Санкт-Петербург,,,,,От 1 года до 3 лет,"['Контроль качества', 'Сертификация', 'Внутренний аудит', 'Сертификация продукции', 'Управление качеством', 'ГОСТ']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,Объединение Сервисных Технологий,2022-08-26T13:15:23+0300
12,67396814,Руководитель отдела контроля качества,Санкт-Петербург,80000.0,,RUR,,От 3 до 6 лет,"['Организаторские навыки', 'Работа в команде', 'Работа с большим объемом информации', 'Ведение отчетности', 'Контроль качества', 'Ориентация на результат', 'Руководство коллективом', 'Высшее образование', 'Управление качеством', 'Внутренний контроль', 'Опыт работы с большим количеством информации', 'Опыт руководящей работы', 'Умение планировать', 'Составление отчетности', 'Работа в условиях многозадачности', 'Работа с документами', 'Умение работать в условиях многозадачности']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,"Печатня, типография",2022-08-24T10:51:11+0300
13,67998731,Менеджер по качеству,Санкт-Петербург,,,,,От 1 года до 3 лет,"['Контроль качества', 'Организаторские навыки', 'Производственный контроль', 'Внутренний контроль', 'Управление качеством']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,"Дарница, Группа Компаний",2022-08-26T19:15:52+0300
14,68399861,Ведущий специалист по качеству / Ведущий специалист СМК,Санкт-Петербург,80000.0,100000.0,RUR,Балтийская,От 3 до 6 лет,"['ГОСТ Р ИСО 9001-2015', 'СТО Газпром 9001-2018', 'СМК', 'Сертификация', 'Сертификация продукции', 'Контроль качества', 'Управление качеством', 'Внутренний аудит', 'Оптимизация бизнес-процессов', 'Управление рисками', 'Грамотность', 'Сбор и анализ информации', 'Продвинутый пользователь ПК', 'стандартизация бизнес процессов', 'Ориентация на результат']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,ВОЛЬТ-СПБ,2022-08-26T14:57:09+0300
15,49928562,Инженер по качеству в ночь,Санкт-Петербург,,50000.0,RUR,Елизаровская,Нет опыта,"['Управление качеством', 'Работа в команде', 'Претензионная работа', 'Работа с претензиями', 'Составление отчетности', 'Работа с людьми', 'Управление производственным персоналом', 'Пользователь ПК', 'Санитарный контроль', 'технологические карты']","['Начальный уровень, Мало опыта', 'Пищевая промышленность', 'Инженер', 'Инженер, Мясо- и птицепереработка', 'Инженер, Производство и переработка зерновых', 'Контроль качества']",Инженер-технолог,Продмастер,2022-08-25T09:50:27+0300
16,69142040,Инженер по качеству,Санкт-Петербург,,,,Обухово,От 1 года до 3 лет,"['Контроль качества', 'Управление качеством', 'Производственный контроль', 'Внутренний контроль', 'ОТК']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,Арман,2022-08-26T18:16:47+0300
17,68621792,Руководитель испытательной лаборатории,Санкт-Петербург,100000.0,150000.0,RUR,Беговая,Более 6 лет,"['Управление персоналом', 'Деловая переписка', 'Контроль качества', 'Внутренний контроль', 'Мобильность', 'Компетентность', 'Аттестация', 'Работа с технической документацией', 'Работа с нормативной документацией']","['Химическая промышленность', 'Пищевая промышленность', 'Инженер', 'Контроль качества', 'Лаборант']","Научный специалист, исследователь, лаборант",Ассоциация Научно-технический центр РЕСПЕКТ,2022-08-27T17:37:53+0300
18,69149741,Начальник производства,Санкт-Петербург,110000.0,160000.0,RUR,Балтийская,Более 6 лет,"['ISO 9001:2008', 'Руководство коллективом', 'Контроль качества', 'Управление качеством']","['Машиностроение', 'Управление проектами', 'Руководство предприятием', 'Управление цехом', 'Производство, Технология']",Начальник производства,СпектроХим,2022-08-25T00:39:34+0300
19,68506692,Инженер по стандартизации и сертификации,Санкт-Петербург,50000.0,,RUR,,От 1 года до 3 лет,"['Ответственность и исполнительность', 'Управление качеством', 'Опытный пользователь ПК', 'Работа в условиях многозадачности', 'Внешний аудит', 'Умение работать в команде и самостоятельно']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,Ресурс,2022-08-26T10:50:50+0300
